id,name,type,source,usage,img_src
material11,无光涡眼,天赋培养素材,周常BOSS掉落 70级以上吞星之鲸挑战奖励,"{'希格雯': '天赋6→10', '闲云': '天赋6→10', '夏沃蕾': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/8/8d/to6v86vza7u4utuarqmbkxu5eo3sqou.png/60px-%E6%97%A0%E5%85%89%E6%B6%A1%E7%9C%BC.png
material12,无光质块,天赋培养素材,周常BOSS掉落 70级以上吞星之鲸挑战奖励,"{'芙宁娜': '天赋6→10', '玛拉妮': '天赋6→10', '嘉明': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/0/0b/rrtuczji4glurrc60w9entzaowkytfs.png/60px-%E6%97%A0%E5%85%89%E8%B4%A8%E5%9D%97.png
material13,无光丝线,天赋培养素材,周常BOSS掉落 70级以上吞星之鲸挑战奖励,"{'娜维娅': '天赋6→10', '千织': '天赋6→10', '欧洛伦': '天赋6→10', '夏洛蒂': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/7/73/cigyf323zh8fl9ssnh6sydnzl2rtx9n.png/60px-%E6%97%A0%E5%85%89%E4%B8%9D%E7%BA%BF.png
material14,生长天地之蕨草,天赋培养素材,周常BOSS掉落 70级以上阿佩普的绿洲守望者挑战奖励,"{'白术': '天赋6→10', '菲米尼': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/2/24/8lu4rqf1si6u5951kl5m2o165pc9up0.png/60px-%E7%94%9F%E9%95%BF%E5%A4%A9%E5%9C%B0%E4%B9%8B%E8%95%A8%E8%8D%89.png
material15,原初绿洲之初绽,天赋培养素材,周常BOSS掉落 70级以上阿佩普的绿洲守望者挑战奖励,"{'莱欧斯利': '天赋6→10', '林尼': '天赋6→10', '卡维': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/f/f6/j0qz615a1fv0n58gstbeznntltvdl2m.png/60px-%E5%8E%9F%E5%88%9D%E7%BB%BF%E6%B4%B2%E4%B9%8B%E5%88%9D%E7%BB%BD.png
material16,亘古树海之一瞬,天赋培养素材,周常BOSS掉落 70级以上阿佩普的绿洲守望者挑战奖励,"{'那维莱特': '天赋6→10', '克洛琳德': '天赋6→10', '琳妮特': '天赋6→10', '绮良良': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/b/b0/2b5sy8dqs0ctuxw5jlcakrok79qc6xi.png/60px-%E4%BA%98%E5%8F%A4%E6%A0%91%E6%B5%B7%E4%B9%8B%E4%B8%80%E7%9E%AC.png
material17,傀儡的悬丝,天赋培养素材,周常BOSS掉落 70级以上正机之神挑战奖励,"{'迪希雅': '天赋6→10', '纳西妲': '天赋6→10', '珐露珊': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/3/36/r76ahzv9z1gc2tk4h7hwvhlakm2inen.png/60px-%E5%82%80%E5%84%A1%E7%9A%84%E6%82%AC%E4%B8%9D.png
material18,无心的渊镜,天赋培养素材,周常BOSS掉落 70级以上正机之神挑战奖励,"{'希诺宁': '天赋6→10', '艾尔海森': '天赋6→10', '米卡': '天赋6→10', '莱依拉': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/4/43/pdgv3t8jymdpupie6skmbqxaphxsr6v.png/60px-%E6%97%A0%E5%BF%83%E7%9A%84%E6%B8%8A%E9%95%9C.png
material19,空行的虚铃,天赋培养素材,周常BOSS掉落 70级以上正机之神挑战奖励,"{'流浪者': '天赋6→10', '瑶瑶': '天赋6→10', '赛索斯': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/b/bd/1xoldn6a05vzbz27gfd9bxwnmteix7s.png/60px-%E7%A9%BA%E8%A1%8C%E7%9A%84%E8%99%9A%E9%93%83.png
material20,万劫之真意,天赋培养素材,周常BOSS掉落 70级以上永恒的守护者挑战奖励,"{'提纳里': '天赋6→10', '八重神子': '天赋6→10', '鹿野院平藏': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/b/be/b9n868cixz2xl7ay1w9x25b005q6lda.png/60px-%E4%B8%87%E5%8A%AB%E4%B9%8B%E7%9C%9F%E6%84%8F.png
material21,祸神之禊泪,天赋培养素材,周常BOSS掉落 70级以上永恒的守护者挑战奖励,"{'妮露': '天赋6→10', '柯莱': '天赋6→10', '坎蒂丝': '天赋6→10', '久岐忍': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/4/46/165ea1q5p27c6i86y12o7cbebhtgsqe.png/60px-%E7%A5%B8%E7%A5%9E%E4%B9%8B%E7%A6%8A%E6%B3%AA.png
material22,凶将之手眼,天赋培养素材,周常BOSS掉落 70级以上永恒的守护者挑战奖励,"{'神里绫人': '天赋6→10', '赛诺': '天赋6→10', '草旅行者': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/7/79/sirjvbki6spu95igriidetgsdfs186p.png/60px-%E5%87%B6%E5%B0%86%E4%B9%8B%E6%89%8B%E7%9C%BC.png
material23,狱火之蝶,天赋培养素材,周常BOSS掉落 70级以上女士挑战奖励,"{'珊瑚宫心海': '天赋6→10', '申鹤': '天赋6→10', '托马': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/d/de/aw3h4hriua41s3xvi0alp89eo526dgf.png/60px-%E7%8B%B1%E7%81%AB%E4%B9%8B%E8%9D%B6.png
material24,熔毁之刻,天赋培养素材,周常BOSS掉落 70级以上 女士 挑战奖励,"{'雷电将军': '天赋6→10', '埃洛伊': '天赋6→10', '五郎': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/7/73/belsm6kou7k7wep2te718fryeknw5mz.png/60px-%E7%86%94%E6%AF%81%E4%B9%8B%E5%88%BB.png
material25,灰烬之心,天赋培养素材,周常BOSS掉落 70级以上女士挑战奖励,"{'荒泷一斗': '天赋6→10', '九条裟罗': '天赋6→10', '云堇': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/7/79/9e3szxc2yvyo9lx6fncmyhgm31hx6v1.png/60px-%E7%81%B0%E7%83%AC%E4%B9%8B%E5%BF%83.png
material26,龙王之冕,天赋培养素材,周常BOSS掉落 70级以上若陀龙王挑战奖励,"{'宵宫': '天赋6→10', '优菈': '天赋6→10', '雷旅行者': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/5/57/qjysc7hroqrry61wv7zz1qwzhwedncq.png/60px-%E9%BE%99%E7%8E%8B%E4%B9%8B%E5%86%95.png
material27,血玉之枝,天赋培养素材,周常BOSS掉落 70级以上若陀龙王挑战奖励,"{'神里绫华': '天赋6→10', '烟绯': '天赋6→10', '多莉': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/6/6d/et4jxc7vep43hq05wkl1lh09qwqcx80.png/60px-%E8%A1%80%E7%8E%89%E4%B9%8B%E6%9E%9D.png
material28,鎏金之鳞,天赋培养素材,周常BOSS掉落 70级以上若陀龙王挑战奖励,"{'枫原万叶': '天赋6→10', '夜兰': '天赋6→10', '早柚': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/3/3a/mukdfwxklvjtvmi46lspkrwyjzpfr0r.png/60px-%E9%8E%8F%E9%87%91%E4%B9%8B%E9%B3%9E.png
material29,魔王之刃·残片,天赋培养素材,周常BOSS掉落 70级以上黄金屋挑战奖励,"{'达达利亚': '天赋6→10', '胡桃': '天赋6→10', '迪奥娜': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/d/d5/84l8g6vmulare9hzl0l94p68e2ke2u0.png/60px-%E9%AD%94%E7%8E%8B%E4%B9%8B%E5%88%83%C2%B7%E6%AE%8B%E7%89%87.png
material30,吞天之鲸·只角,天赋培养素材,周常BOSS掉落 70级以上黄金屋挑战奖励,"{'钟离': '天赋6→10', '阿贝多': '天赋6→10', '辛焱': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/2/25/0d338euhhvw716dxdp9jcra0j8v3x2w.png/60px-%E5%90%9E%E5%A4%A9%E4%B9%8B%E9%B2%B8%C2%B7%E5%8F%AA%E8%A7%92.png
material31,武炼之魂·孤影,天赋培养素材,周常BOSS掉落 70级以上黄金屋挑战奖励,"{'甘雨': '天赋6→10', '魈': '天赋6→10', '罗莎莉亚': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/e/e7/mtcfpf9siktp7ro4xr6b1qsoldbj0dn.png/60px-%E6%AD%A6%E7%82%BC%E4%B9%8B%E9%AD%82%C2%B7%E5%AD%A4%E5%BD%B1.png
material32,北风之环,天赋培养素材,周常BOSS掉落 70级以上北风狼挑战奖励,"{'可莉': '天赋6→10', '莫娜': '天赋6→10', '刻晴': '天赋6→10', '芭芭拉': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/e/e0/t8f1e6wcwp4e78csjk0ybzobxyuks59.png/60px-%E5%8C%97%E9%A3%8E%E4%B9%8B%E7%8E%AF.png
material33,北风的魂匣,天赋培养素材,周常BOSS掉落 70级以上北风狼挑战奖励,"{'凯亚': '天赋6→10', '菲谢尔': '天赋6→10', '砂糖': '天赋6→10', '凝光': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/6/6a/8nittob80atxys7yp35t3fpnrrc6wi8.png/60px-%E5%8C%97%E9%A3%8E%E7%9A%84%E9%AD%82%E5%8C%A3.png
material34,东风之爪,天赋培养素材,周常BOSS掉落 70级以上风魔龙挑战奖励,"{'诺艾尔': '天赋6→10', '香菱': '天赋6→10', '丽莎': '天赋6→10', '雷泽': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/f/f6/f4q5m5796jz3vbdzdrd11ckfxvey3p4.png/60px-%E4%B8%9C%E9%A3%8E%E4%B9%8B%E7%88%AA.png
material35,东风之翎,天赋培养素材,周常BOSS掉落 70级以上风魔龙挑战奖励,"{'琴': '天赋6→10', '迪卢克': '天赋6→10', '班尼特': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/9/96/4c2jgiepvntmzly4l1806aw9x4kjvyr.png/60px-%E4%B8%9C%E9%A3%8E%E4%B9%8B%E7%BF%8E.png
material36,东风的吐息,天赋培养素材,周常BOSS掉落 70级以上风魔龙挑战奖励,"{'北斗': '天赋6→10', '安柏': '天赋6→10', '重云': '天赋6→10', '风旅行者': '天赋6→10', '岩旅行者': '天赋6→10', '一技能': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/6/6c/7ywje7s8o7ayzdtc25psypni9z0n0vg.png/60px-%E4%B8%9C%E9%A3%8E%E7%9A%84%E5%90%90%E6%81%AF.png
material37,北风之尾,天赋培养素材,周常BOSS掉落 70级以上北风狼挑战奖励,"{'七七': '天赋6→10', '温迪': '天赋6→10', '行秋': '天赋6→10', '岩旅行者': '天赋6→10', '二三技能': '天赋6→10'}",https://patchwiki.biligame.com/images/ys/thumb/a/a4/ain3ls8ix8o4cljr9gjm0ypjzzezj0n.png/60px-%E5%8C%97%E9%A3%8E%E4%B9%8B%E5%B0%BE.png
material38,长夜燧火的烈辉,武器突破素材,秘境获得 合成获得 失落的月庭 炼武秘境:祷颂 Ⅳ（失落的月庭限时开启） 时间：周二/周五/周日,"{'血染荒城': '80级突破', '圣祭者的辉杖': '80级突破', '掘金之锹': '80级突破', '罗网勾针': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/f/fa/5fw9thsiggo63o8s9lg6eng38kda9xw.png/60px-%E9%95%BF%E5%A4%9C%E7%87%A7%E7%81%AB%E7%9A%84%E7%83%88%E8%BE%89.png
material39,奇巧秘器的真愿,武器突破素材,秘境获得 合成获得 失落的月庭 炼武秘境:明辉 Ⅳ（失落的月庭限时开启） 时间：周一/周四/周日,"{'纺夜天镜': '80级突破', '谧音吹哨': '80级突破', '乌髓孑灯': '80级突破', '霜辰': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/b/b1/dpsoq8obfp6959uf1xi2rub019bz7fx.png/60px-%E5%A5%87%E5%B7%A7%E7%A7%98%E5%99%A8%E7%9A%84%E7%9C%9F%E6%84%BF.png
material40,终北遗嗣的煌熠,武器突破素材,秘境获得 合成获得 失落的月庭 炼武秘境:祭月 Ⅳ（失落的月庭限时开启） 时间：周三/周六/周日,"{'织月者的曙色': '80级突破', '天光的纺琴': '80级突破', '万能钥匙': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/e/e9/bx0anwwss4fc6brkxmszqzqrmyojmjo.png/60px-%E7%BB%88%E5%8C%97%E9%81%97%E5%97%A3%E7%9A%84%E7%85%8C%E7%86%A0.png
material41,神合秘烟的启示,武器突破素材,秘境获得 深古瞭望所 炼武秘境:测度 Ⅳ（深古瞭望所限时开启） 时间：周三/周六/周日 合成获得,"{'苍耀': '80级突破', '岩峰巡歌': '80级突破', '星鹫赤羽': '80级突破', '碎链': '80级突破', '硕果钩': '80级突破', '缀花之翎': '80级突破', '苍纹角杯': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/a/ae/897vr0n1uqaufsb8wj93joria3hdt0k.png/60px-%E7%A5%9E%E5%90%88%E7%A7%98%E7%83%9F%E7%9A%84%E5%90%AF%E7%A4%BA.png
material42,贡祭炽心的荣膺,武器突破素材,秘境获得 深古瞭望所 时间：周一/周四/周日 炼武秘境:冥见 Ⅳ（深古瞭望所限时开启） 合成获得,"{'焚曜千阳': '80级突破', '冲浪时光': '80级突破', '支离轮光': '80级突破', '息燧之笛': '80级突破', '撼地者': '80级突破', '弥坚骨': '80级突破', '乘浪的回旋': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/e/ef/am7t0os5z5dh5gzcany79a928etkxt6.png/60px-%E8%B4%A1%E7%A5%AD%E7%82%BD%E5%BF%83%E7%9A%84%E8%8D%A3%E8%86%BA.png
material43,谵妄圣主的神面,武器突破素材,秘境获得 合成获得 深古瞭望所 时间：周二/周五/周日 炼武秘境:究观 Ⅳ（深古瞭望所限时开启）,"{'溢彩心念': '80级突破', '山王长牙': '80级突破', '祭星者之望': '80级突破', '虹的行迹': '80级突破', '拾慧铸熔': '80级突破', '镇山之钉': '80级突破', '厄水之祸': '80级突破', '木棉之环': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/e/e0/8z8i65uioxtcxdtmcn27v1rbavtx0da.png/60px-%E8%B0%B5%E5%A6%84%E5%9C%A3%E4%B8%BB%E7%9A%84%E7%A5%9E%E9%9D%A2.png
material44,无垢之海的金杯,武器突破素材,秘境获得 合成获得 深潮的余响 炼武秘境:奇械 Ⅳ（深潮的余响限时开启） 时间：周三/周六/周日,"{'赤月之形': '80级突破', '柔灯挽歌': '80级突破', '金流监督': '80级突破', '浪影阔剑': '80级突破', '公义的酬报': '80级突破', '便携动力锯': '80级突破', '究极霸王超级魔剑': '', '级突破': '', '峡湾长歌': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/d/de/ab54afpbxocu59kjcsjnb1eg6565kxf.png/60px-%E6%97%A0%E5%9E%A2%E4%B9%8B%E6%B5%B7%E7%9A%84%E9%87%91%E6%9D%AF.png
material45,悠古弦音的回响,武器突破素材,秘境获得 合成获得 深潮的余响 炼武秘境:机思 Ⅳ（深潮的余响限时开启） 时间：周一/周四/周日,"{'赦罪': '80级突破', '最初的大魔术': '80级突破', '裁断': '80级突破', '水仙十字之剑': '80级突破', '灰河渡手': '80级突破', '静谧之曲': '80级突破', '冷寂迸音': '80级突破', '测距规': '80级突破', '勘探钻机': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/4/45/3q2mirog6yf59cabz4q210ovlbj3e0o.png/60px-%E6%82%A0%E5%8F%A4%E5%BC%A6%E9%9F%B3%E7%9A%84%E5%9B%9E%E5%93%8D.png
material46,纯圣露滴的真粹,武器突破素材,秘境获得 合成获得 深潮的余响 炼武秘境:匠理 Ⅳ（深潮的余响限时开启） 时间：周二/周五/周日,"{'香韵奏者': '80级突破', '万世流涌大典': '80级突破', '静水流涌之辉': '80级突破', '白雨心弦': '80级突破', '纯水流华': '80级突破', '船坞长剑': '80级突破', '海渊终曲': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/a/aa/jeoqm7t6t4ck5nro3qodi2h3otn3t8f.png/60px-%E7%BA%AF%E5%9C%A3%E9%9C%B2%E6%BB%B4%E7%9A%84%E7%9C%9F%E7%B2%B9.png
material47,烈日威权的旧日,武器突破素材,秘境获得 合成获得 有顶塔 时间：周三/周六/周日 炼武秘境:引业 Ⅳ（有顶塔限时开启）,"{'苇海信标': '80级突破', '图莱杜拉的回忆': '80级突破', '猎人之径': '80级突破', '竭泽': '80级突破', '王下近侍': '80级突破', '玛海菈的水色': '80级突破', '烈阳之嗣': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/7/70/n17o3iy0o9hd7llbftbebjkoofa9nk4.png/60px-%E7%83%88%E6%97%A5%E5%A8%81%E6%9D%83%E7%9A%84%E6%97%A7%E6%97%A5.png
material48,谧林涓露的金符,武器突破素材,秘境获得 合成获得 有顶塔 炼武秘境:云垢 Ⅳ（有顶塔限时开启） 时间：周一/周四/周日,"{'圣显之钥': '80级突破', '裁叶萃光': '80级突破', '西福斯的月光': '80级突破', '鹮穿之喙': '80级突破', '原木刀': '80级突破', '沙中伟贤的对答': '80级突破', '森林王器': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/6/6e/2koigau65rcsv1cpdy0a6wuvs9iig26.png/60px-%E8%B0%A7%E6%9E%97%E6%B6%93%E9%9C%B2%E7%9A%84%E9%87%91%E7%AC%A6.png
material49,绿洲花园的真谛,武器突破素材,秘境获得 合成获得 有顶塔 炼武秘境:思惑 Ⅳ（有顶塔限时开启） 时间：周二/周五/周日,"{'赤沙之杖': '80级突破', '千夜浮梦': '80级突破', '真语秘匣': '80级突破', '流浪的晚星': '80级突破', '聊聊棒': '80级突破', '贯月矢': '80级突破', '盈满之实': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/d/d4/nb0vqiokikoopdpo7x09srcht0y4toc.png/60px-%E7%BB%BF%E6%B4%B2%E8%8A%B1%E5%9B%AD%E7%9A%84%E7%9C%9F%E8%B0%9B.png
material50,今昔剧画之鬼人,武器突破素材,秘境获得 合成获得 砂流之庭 炼武秘境:流沙之葬 Ⅳ（砂流之庭限时开启） 时间：周三/周六/周日,"{'薙草之稻光': '80级突破', '冬极白星': '80级突破', '神乐之真意': '80级突破', '笼钓瓶一心': '80级突破', '且住亭御咄': '80级突破', '渔获': '', '级突破': '', '断浪长鳍': '80级突破', '喜多院十文字': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/1/18/2io89qzgybi350jsqrpm0p6efnh16yb.png/60px-%E4%BB%8A%E6%98%94%E5%89%A7%E7%94%BB%E4%B9%8B%E9%AC%BC%E4%BA%BA.png
material51,鸣神御灵的勇武,武器突破素材,合成获得 砂流之庭 炼武秘境:砂之祭场 Ⅳ（砂流之庭限时开启） 时间：周二/周五/周日 秘境获得,"{'飞雷之弦振': '80级突破', '赤角石溃杵': '80级突破', '波乱月白经津': '80级突破', '寝正月初晴': '80级突破', '桂木斩长正': '80级突破', '破魔之弓': '80级突破', '东花坊时雨': '80级突破', '掠食者': '80级突破', '曚云之月': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/a/a7/8c1i8vpz8xtfkhq2ql02htt2jhqjer8.png/60px-%E9%B8%A3%E7%A5%9E%E5%BE%A1%E7%81%B5%E7%9A%84%E5%8B%87%E6%AD%A6.png
material52,远海夷地的金枝,武器突破素材,合成获得 砂流之庭 秘境获得 炼武秘境:沉砂之渊 Ⅳ（砂流之庭限时开启） 时间：周一/周四/周日,"{'不灭月华': '80级突破', '有乐御簾切': '80级突破', '雾切之回光': '80级突破', '天目影打刀': '80级突破', '白辰之环': '80级突破', '恶王丸': '80级突破', '证誓之明瞳': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/e/ee/sb5eljgxovf5ai76kdiky1nc8sofixq.png/60px-%E8%BF%9C%E6%B5%B7%E5%A4%B7%E5%9C%B0%E7%9A%84%E9%87%91%E6%9E%9D.png
material53,高塔孤王的碎梦,武器突破素材,秘境获得 合成获得 塞西莉亚苗圃 炼武秘境:水光之城Ⅳ（塞西莉亚苗圃限时开启） 时间：周一/周四/周日,"{'松籁响起之时': '80级突破', '风鹰剑': '80级突破', '黑蚀': '80级突破', '暗巷闪光': '80级突破', '宗室秘法录': '80级突破', '幽夜华尔兹': '80级突破', '西风秘典': '80级突破', '狼牙': '80级突破', '钟剑': '80级突破', '辰砂之纺锤': '80级突破', '宗室长剑': '80级突破', '雪葬的星银': '80级突破', '绝弦': '80级突破', '西风剑': '80级突破', '苍翠猎弓': '80级突破', '冷刃': '80级突破', '铁影阔剑': '80级突破', '鸦羽弓': '80级突破', '魔导绪论': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/a/ae/ril3957ally2n06x63okj5u4xlgxkat.png/60px-%E9%AB%98%E5%A1%94%E5%AD%A4%E7%8E%8B%E7%9A%84%E7%A2%8E%E6%A2%A6.png
material54,凛风奔狼的怀乡,武器突破素材,秘境获得 合成获得 塞西莉亚苗圃 炼武秘境:深没之谷Ⅳ（塞西莉亚苗圃限时开启） 时间：周二/周五/周日,"{'天空之傲': '80级突破', '天空之翼': '80级突破', '终末嗟叹之诗': '80级突破', '天空之卷': '80级突破', '天空之刃': '80级突破', '祭礼弓': '80级突破', '无垠蔚蓝之歌': '80级突破', '暗巷的酒与诗': '80级突破', '流浪乐章': '80级突破', '笛剑': '80级突破', '嘟嘟可故事集': '80级突破', '决斗之枪': '80级突破', '降临之剑': '80级突破', '龙脊长枪': '80级突破', '黑剑': '80级突破', '祭礼大剑': '80级突破', '风信之锋': '80级突破', '黎明神剑': '80级突破', '讨龙英杰谭': '80级突破', '神射手之誓': '80级突破', '沐浴龙血的剑': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/8/87/9pms7n56y93l3pubhkf50f0ve26xeay.png/60px-%E5%87%9B%E9%A3%8E%E5%A5%94%E7%8B%BC%E7%9A%84%E6%80%80%E4%B9%A1.png
material55,漆黑陨铁的一块,武器突破素材,秘境获得 合成获得 震雷连山密宫 炼武秘境:古雷试炼场Ⅳ（震雷连山密宫限时开启） 时间：周三/周六/周日,"{'尘世之锁': '80级突破', '贯虹之槊': '80级突破', '护摩之杖': '80级突破', '螭骨剑': '80级突破', '钢轮弓': '80级突破', '筑云': '80级突破', '千岩长枪': '80级突破', '试作古华': '80级突破', '衔珠海皇': '80级突破', '万国诸海图谱': '80级突破', '落霞': '80级突破', '试作星镰': '80级突破', '铁蜂刺': '80级突破', '飞天御剑': '80级突破', '飞天大御剑': '80级突破', '黑缨枪': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/a/a5/ondpda6fqcktdngxx59hjx0x86eifeu.png/60px-%E6%BC%86%E9%BB%91%E9%99%A8%E9%93%81%E7%9A%84%E4%B8%80%E5%9D%97.png
material56,狮牙斗士的理想,武器突破素材,秘境获得 合成获得 塞西莉亚苗圃 炼武秘境:渴水的废都Ⅳ（塞西莉亚苗圃限时开启） 时间：周三/周六/周日,"{'苍古自由之誓': '80级突破', '狼的末路': '80级突破', '阿莫斯之弓': '80级突破', '黎明破晓之史': '80级突破', '天空之脊': '80级突破', '四风原典': '80级突破', '宗室长弓': '80级突破', '饰铁之花': '80级突破', '祭礼残章': '80级突破', '风花之颂': '80级突破', '西风猎弓': '80级突破', '忍冬之果': '80级突破', '暗巷猎手': '80级突破', '西风长枪': '80级突破', '宗室大剑': '80级突破', '祭礼剑': '80级突破', '西风大剑': '80级突破', '腐殖之剑': '80级突破', '异世界行记': '80级突破', '旅行剑': '80级突破', '白铁大剑': '80级突破', '反曲弓': '80级突破'}",https://patchwiki.biligame.com/images/ys/thumb/3/39/nev6qh0704ntykkzomnpfmy61b8jo6t.png/60px-%E7%8B%AE%E7%89%99%E6%96%97%E5%A3%AB%E7%9A%84%E7%90%86%E6%83%B3.png
